"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","2713","13","2713","0","instruction","poldrack-text","0","2715","0.0-0.0-0.0","dietary_decision","true","3","","","","","","","","","","","",""
"","11534","","","","instruction","poldrack-instructions","1","14250","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":11534}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>","4400","13","4400","500","start_health","poldrack-text","2","19661","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","24178","0.0-2.0","dietary_decision","true","0","","-1","4000","health_rating","RiceKrispyTreat","NaN","0","","","","",""
"","2144","","2144","500","stim","single-stim-button","4","26832","0.0-3.0","dietary_decision","true","0","","Neutral","2144","health_rating","KitKat","0","1","","","","",""
"","1988","","1988","500","stim","single-stim-button","5","29323","0.0-4.0","dietary_decision","true","0","","Neutral","1988","health_rating","slimfastC","0","2","","","","",""
"","1988","","1988","500","stim","single-stim-button","6","31821","0.0-5.0","dietary_decision","true","0","","Neutral","1988","health_rating","slimfastV","0","3","","","","",""
"","2280","","2280","500","stim","single-stim-button","7","34610","0.0-6.0","dietary_decision","true","0","","Healthy","2280","health_rating","wheatcrisps","1","4","","","","",""
"","3048","","3048","500","stim","single-stim-button","8","38169","0.0-7.0","dietary_decision","true","0","","Healthy","3048","health_rating","cellery","1","5","","","","",""
"","-1","","4000","500","stim","single-stim-button","9","42686","0.0-8.0","dietary_decision","true","0","","-1","4000","health_rating","brocollincauliflower","NaN","6","","","","",""
"","2484","","2484","500","stim","single-stim-button","10","45671","0.0-9.0","dietary_decision","true","0","","Healthy","2484","health_rating","FamousAmos","1","7","","","","",""
"","2251","","2251","500","stim","single-stim-button","11","48431","0.0-10.0","dietary_decision","true","0","","Very_Healthy","2251","health_rating","redgrapes","2","8","","","","",""
"","3793","","3793","500","stim","single-stim-button","12","52730","0.0-11.0","dietary_decision","true","0","","Healthy","3793","health_rating","carrots","1","9","","","","",""
"","-1","","4000","500","stim","single-stim-button","13","57235","0.0-12.0","dietary_decision","true","0","","-1","4000","health_rating","butterfinger","NaN","10","","","","",""
"","2095","","2095","500","stim","single-stim-button","14","59838","0.0-13.0","dietary_decision","true","0","","Neutral","2095","health_rating","cookiencream","0","11","","","","",""
"","1486","","1486","500","stim","single-stim-button","15","61829","0.0-14.0","dietary_decision","true","0","","Neutral","1486","health_rating","Lindt","0","12","","","","",""
"","1426","","1426","500","stim","single-stim-button","16","63757","0.0-15.0","dietary_decision","true","0","","Healthy","1426","health_rating","strawberries","1","13","","","","",""
"","1959","","1959","500","stim","single-stim-button","17","66228","0.0-16.0","dietary_decision","true","0","","Neutral","1959","health_rating","sbcrackers","0","14","","","","",""
"","3172","","3172","500","stim","single-stim-button","18","69902","0.0-17.0","dietary_decision","true","0","","Very_Healthy","3172","health_rating","banana","2","15","","","","",""
"","2282","","2282","500","stim","single-stim-button","19","72696","0.0-18.0","dietary_decision","true","0","","Neutral","2282","health_rating","icecreamsandwich","0","16","","","","",""
"","2402","","2402","500","stim","single-stim-button","20","75610","0.0-19.0","dietary_decision","true","0","","Very_Healthy","2402","health_rating","orange","2","17","","","","",""
"","-1","","4000","500","stim","single-stim-button","21","80129","0.0-20.0","dietary_decision","true","0","","-1","4000","health_rating","cherryicecream","NaN","18","","","","",""
"","2270","","2270","500","stim","single-stim-button","22","82900","0.0-21.0","dietary_decision","true","0","","Unhealthy","2270","health_rating","Reeses","-1","19","","","","",""
"","2472","","2472","500","stim","single-stim-button","23","85875","0.0-22.0","dietary_decision","true","0","","Neutral","2472","health_rating","ffraspsorbet","0","20","","","","",""
"","1246","","1246","500","stim","single-stim-button","24","87622","0.0-23.0","dietary_decision","true","0","","Very_Healthy","1246","health_rating","reddelicious","2","21","","","","",""
"","1684","","1684","500","stim","single-stim-button","25","89809","0.0-24.0","dietary_decision","true","0","","Unhealthy","1684","health_rating","laysclassic","-1","22","","","","",""
"","2432","","2432","500","stim","single-stim-button","26","92744","0.0-25.0","dietary_decision","true","0","","Neutral","2432","health_rating","strussel","0","23","","","","",""
"","-1","","4000","500","stim","single-stim-button","27","97248","0.0-26.0","dietary_decision","true","0","","-1","4000","health_rating","cranberries","NaN","24","","","","",""
"","1705","","1705","500","stim","single-stim-button","28","99464","0.0-27.0","dietary_decision","true","0","","Unhealthy","1705","health_rating","Oreos","-1","25","","","","",""
"","1267","","1267","500","stim","single-stim-button","29","101245","0.0-28.0","dietary_decision","true","0","","Very_Healthy","1267","health_rating","grannysmith","2","26","","","","",""
"","2678","","2678","500","stim","single-stim-button","30","104426","0.0-29.0","dietary_decision","true","0","","Unhealthy","2678","health_rating","HoHo","-1","27","","","","",""
"","2252","","2252","500","stim","single-stim-button","31","107190","0.0-30.0","dietary_decision","true","0","","Healthy","2252","health_rating","raisins","1","28","","","","",""
"","2608","","2608","500","stim","single-stim-button","32","110308","0.0-31.0","dietary_decision","true","0","","Neutral","2608","health_rating","sbdietbar","0","29","","","","",""
"","3470","","3470","500","stim","single-stim-button","33","114292","0.0-32.0","dietary_decision","true","0","","Unhealthy","3470","health_rating","frozenyogart","-1","30","","","","",""
"","2989","","2989","500","stim","single-stim-button","34","117782","0.0-33.0","dietary_decision","true","0","","Unhealthy","2989","health_rating","ChipsAhoy","-1","31","","","","",""
"","3863","","3863","500","stim","single-stim-button","35","122145","0.0-34.0","dietary_decision","true","0","","Unhealthy","3863","health_rating","keeblerfudgestripes","-1","32","","","","",""
"","-1","","4000","500","stim","single-stim-button","36","126672","0.0-35.0","dietary_decision","true","0","","-1","4000","health_rating","Ghiradelli","NaN","33","","","","",""
"","1284","","1284","500","stim","single-stim-button","37","128471","0.0-36.0","dietary_decision","true","0","","Healthy","1284","health_rating","whitegrapes","1","34","","","","",""
"","3403","","3403","500","stim","single-stim-button","38","132383","0.0-37.0","dietary_decision","true","0","","Neutral","3403","health_rating","keeblerrainbow","0","35","","","","",""
"","3427","","3427","500","stim","single-stim-button","39","136326","0.0-38.0","dietary_decision","true","0","","Unhealthy","3427","health_rating","Doritosranch","-1","36","","","","",""
"","3790","","3790","500","stim","single-stim-button","40","140618","0.0-39.0","dietary_decision","true","0","","Unhealthy","3790","health_rating","MrsFields","-1","37","","","","",""
"","2807","","2807","500","stim","single-stim-button","41","143940","0.0-40.0","dietary_decision","true","0","","Neutral","2807","health_rating","wwmuffin","0","38","","","","",""
"","2378","","2378","500","stim","single-stim-button","42","146826","0.0-41.0","dietary_decision","true","0","","Neutral","2378","health_rating","ruffles","0","39","","","","",""
"","2463","","2463","500","stim","single-stim-button","43","149794","0.0-42.0","dietary_decision","true","0","","Unhealthy","2463","health_rating","uTwix","-1","40","","","","",""
"","-1","","4000","500","stim","single-stim-button","44","154303","0.0-43.0","dietary_decision","true","0","","-1","4000","health_rating","cookies","NaN","41","","","","",""
"","3244","","3244","500","stim","single-stim-button","45","158049","0.0-44.0","dietary_decision","true","0","","Unhealthy","3244","health_rating","uToberlorone","-1","42","","","","",""
"","2305","","2305","500","stim","single-stim-button","46","160870","0.0-45.0","dietary_decision","true","0","","Neutral","2305","health_rating","wwbrownie","0","43","","","","",""
"","-1","","4000","500","stim","single-stim-button","47","165373","0.0-46.0","dietary_decision","true","0","","-1","4000","health_rating","blueberryyogart","NaN","44","","","","",""
"","3224","","3224","500","stim","single-stim-button","48","169103","0.0-47.0","dietary_decision","true","0","","Very_Unhealthy","3224","health_rating","FlamingCheetos","-2","45","","","","",""
"","3755","","3755","500","stim","single-stim-button","49","173361","0.0-48.0","dietary_decision","true","0","","Neutral","3755","health_rating","specialKbar","0","46","","","","",""
"","-1","","4000","500","stim","single-stim-button","50","177872","0.0-49.0","dietary_decision","true","0","","-1","4000","health_rating","mixedyogart","NaN","47","","","","",""
"","3344","","3344","500","stim","single-stim-button","51","181721","0.0-50.0","dietary_decision","true","0","","Unhealthy","3344","health_rating","100Grand","-1","48","","","","",""
"","3250","","3250","500","stim","single-stim-button","52","185481","0.0-51.0","dietary_decision","true","0","","Very_Unhealthy","3250","health_rating","orangejello","-2","49","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","3702","13","3702","500","start_taste","poldrack-text","53","189694","0.0-52.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1679","","1679","500","stim","single-stim-button","54","191878","0.0-53.0","dietary_decision","true","0","","Good","1679","taste_rating","blueberryyogart","1","0","","","","",""
"","1975","","1975","500","stim","single-stim-button","55","194370","0.0-54.0","dietary_decision","true","0","","Bad","1975","taste_rating","sbdietbar","-1","1","","","","",""
"","1378","","1378","500","stim","single-stim-button","56","196256","0.0-55.0","dietary_decision","true","0","","Neutral","1378","taste_rating","cranberries","0","2","","","","",""
"","2294","","2294","500","stim","single-stim-button","57","199057","0.0-56.0","dietary_decision","true","0","","Neutral","2294","taste_rating","orange","0","3","","","","",""
"","1039","","1039","500","stim","single-stim-button","58","200606","0.0-57.0","dietary_decision","true","0","","Good","1039","taste_rating","grannysmith","1","4","","","","",""
"","2278","","2278","500","stim","single-stim-button","59","203399","0.0-58.0","dietary_decision","true","0","","Good","2278","taste_rating","keeblerfudgestripes","1","5","","","","",""
"","1751","","1751","500","stim","single-stim-button","60","205659","0.0-59.0","dietary_decision","true","0","","Neutral","1751","taste_rating","Lindt","0","6","","","","",""
"","2306","","2306","500","stim","single-stim-button","61","208473","0.0-60.0","dietary_decision","true","0","","Neutral","2306","taste_rating","wheatcrisps","0","7","","","","",""
"","1872","","1872","500","stim","single-stim-button","62","210860","0.0-61.0","dietary_decision","true","0","","Neutral","1872","taste_rating","specialKbar","0","8","","","","",""
"","2498","","2498","500","stim","single-stim-button","63","213864","0.0-62.0","dietary_decision","true","0","","Neutral","2498","taste_rating","cellery","0","9","","","","",""
"","1786","","1786","500","stim","single-stim-button","64","216158","0.0-63.0","dietary_decision","true","0","","Very_Bad","1786","taste_rating","brocollincauliflower","-2","10","","","","",""
"","1229","","1229","500","stim","single-stim-button","65","217890","0.0-64.0","dietary_decision","true","0","","Good","1229","taste_rating","whitegrapes","1","11","","","","",""
"","1757","","1757","500","stim","single-stim-button","66","220148","0.0-65.0","dietary_decision","true","0","","Neutral","1757","taste_rating","cherryicecream","0","12","","","","",""
"","1573","","1573","500","stim","single-stim-button","67","222224","0.0-66.0","dietary_decision","true","0","","Neutral","1573","taste_rating","HoHo","0","13","","","","",""
"","1541","","1541","500","stim","single-stim-button","68","224272","0.0-67.0","dietary_decision","true","0","","Good","1541","taste_rating","uTwix","1","14","","","","",""
"","2198","","2198","500","stim","single-stim-button","69","226982","0.0-68.0","dietary_decision","true","0","","Neutral","2198","taste_rating","ruffles","0","15","","","","",""
"","1499","","1499","500","stim","single-stim-button","70","228988","0.0-69.0","dietary_decision","true","0","","Neutral","1499","taste_rating","Reeses","0","16","","","","",""
"","1853","","1853","500","stim","single-stim-button","71","231352","0.0-70.0","dietary_decision","true","0","","Neutral","1853","taste_rating","Ghiradelli","0","17","","","","",""
"","2582","","2582","500","stim","single-stim-button","72","234435","0.0-71.0","dietary_decision","true","0","","Bad","2582","taste_rating","butterfinger","-1","18","","","","",""
"","1514","","1514","500","stim","single-stim-button","73","236455","0.0-72.0","dietary_decision","true","0","","Neutral","1514","taste_rating","wwmuffin","0","19","","","","",""
"","1873","","1873","500","stim","single-stim-button","74","238828","0.0-73.0","dietary_decision","true","0","","Bad","1873","taste_rating","MrsFields","-1","20","","","","",""
"","1757","","1757","500","stim","single-stim-button","75","241086","0.0-74.0","dietary_decision","true","0","","Bad","1757","taste_rating","strawberries","-1","21","","","","",""
"","1856","","1856","500","stim","single-stim-button","76","243442","0.0-75.0","dietary_decision","true","0","","Neutral","1856","taste_rating","icecreamsandwich","0","22","","","","",""
"","1454","","1454","500","stim","single-stim-button","77","245408","0.0-76.0","dietary_decision","true","0","","Neutral","1454","taste_rating","redgrapes","0","23","","","","",""
"","3260","","3260","500","stim","single-stim-button","78","249177","0.0-77.0","dietary_decision","true","0","","Neutral","3260","taste_rating","slimfastV","0","24","","","","",""
"","1916","","1916","500","stim","single-stim-button","79","251605","0.0-78.0","dietary_decision","true","0","","Bad","1916","taste_rating","strussel","-1","25","","","","",""
"","1843","","1843","500","stim","single-stim-button","80","253950","0.0-79.0","dietary_decision","true","0","","Bad","1843","taste_rating","FamousAmos","-1","26","","","","",""
"","1397","","1397","500","stim","single-stim-button","81","255863","0.0-80.0","dietary_decision","true","0","","Very_Good","1397","taste_rating","banana","2","27","","","","",""
"","1955","","1955","500","stim","single-stim-button","82","258319","0.0-81.0","dietary_decision","true","0","","Very_Good","1955","taste_rating","cookiencream","2","28","","","","",""
"","1713","","1713","500","stim","single-stim-button","83","260543","0.0-82.0","dietary_decision","true","0","","Neutral","1713","taste_rating","ffraspsorbet","0","29","","","","",""
"","1334","","1334","500","stim","single-stim-button","84","262392","0.0-83.0","dietary_decision","true","0","","Good","1334","taste_rating","reddelicious","1","30","","","","",""
"","2270","","2270","500","stim","single-stim-button","85","265166","0.0-84.0","dietary_decision","true","0","","Neutral","2270","taste_rating","mixedyogart","0","31","","","","",""
